vib,speed ,current,voltage,output
1.12,0,4.5,230,0
1.41,1430,4.5,230,0
1.32,1423,4.5,230,0
1.38,1400,4.5,230,0
1.4,1420,4.5,230,0
1.26,1390,4.5,230,0
1.32,1430,4.5,230,0
1.29,1440,4.5,230,0
1.45,1442,4.5,230,0
1.46,1470,4.5,230,0
1.49,1474,4.5,230,0
1.44,1420,4.5,230,0
1.03,1390,4.5,230,1
1.04,1390,4.5,230,1
0.82,1360,4.5,230,1
0.97,1380,4.5,230,1
0.91,1375,4.5,230,1
0.94,1385,4.5,230,1
0.9,1380,4.5,230,1
1.05,1460,4.5,230,1
1.02,1340,4.5,230,1
1.45,1420,4.5,230,0
1.32,1430,4.5,230,0
1.23,1450,4.5,230,0
1.44,1400,4.5,230,0
1.34,1390,4.5,230,0
1.43,1360,4.5,230,0
1.27,1420,4.5,230,0
1.54,1450,4.5,230,0
1.33,1370,4.5,230,1
1.34,1440,4.5,230,1
1.12,500,21,220,0
1.2,500,21,220,0
1.24,500,21,220,0
1.18,500,21,220,0
1.25,500,21,220,0
1.28,500,21,220,1
1.29,500,21,220,1
1.08,500,21,220,1
1.06,500,21,220,1
1.35,500,21,220,1
1.34,500,21,220,1
1.39,500,21,220,1
1.3,500,21,220,1
1.37,500,21,220,1
1.34,500,21,220,1
1.59,500,21,220,1
1.89,500,21,220,1
0.84,500,21,220,1
